City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
sur,22.5667,59.5289,77.9,69,75,10.6,OM,1634774027
ketchikan,55.3422,-131.6461,44.08,95,100,5.88,US,1634774028
talara,-4.5772,-81.2719,65.16,82,40,13.8,PE,1634774028
neiafu,-18.65,-173.9833,81.28,54,20,9.22,TO,1634774028
sokoni,-6.4333,39.55,76.84,79,53,9.84,TZ,1634774028
aklavik,68.2191,-135.0107,27.43,82,99,7.23,CA,1634774029
mizan teferi,6.9833,35.5833,64.9,60,96,2.57,ET,1634774029
saldanha,-33.0117,17.9442,59.05,90,71,21.65,ZA,1634774029
kosa,59.9445,54.9977,27.1,95,38,3.02,RU,1634774030
kimbe,-5.5502,150.1429,84.52,73,59,1.28,PG,1634774030
sitka,57.0531,-135.33,53.49,58,90,17.27,US,1634773871
blyth,55.1271,-1.5086,45.09,92,40,1.99,GB,1634774030
riverton,40.5219,-111.9391,61.72,42,1,1.99,US,1634774031
leninsk,48.7119,45.1994,31.86,70,49,8.21,RU,1634774031
kenai,60.5544,-151.2583,45.09,84,75,9.22,US,1634774031
chegdomyn,51.1167,133.0167,25.32,78,61,0.72,RU,1634774032
czersk,53.7959,17.9765,61.56,75,100,14.74,PL,1634774032
vao,-22.6667,167.4833,70.43,94,100,14.94,NC,1634773872
peniche,39.3558,-9.3811,66.61,93,4,9.84,PT,1634773845
broome,42.2506,-75.833,60.98,83,55,2.35,US,1634774033
kruisfontein,-34.0033,24.7314,62.17,62,57,3.83,ZA,1634773833
esperance,-33.8667,121.9,60.64,65,8,19.08,AU,1634774033
lagoa,39.05,-27.9833,68.65,62,49,0.72,PT,1634774033
souillac,-20.5167,57.5167,72.36,83,40,5.75,MU,1634774034
guerrero negro,27.9769,-114.0611,67.96,68,56,13.6,MX,1634773786
wuwei,37.9281,102.6414,39.31,48,1,1.61,CN,1634774034
sarkand,45.41,79.9186,56.01,24,100,3.96,KZ,1634774035
chuy,-33.6971,-53.4616,55.98,75,48,7.92,UY,1634773781
micheweni,-4.9667,39.8333,75.13,86,62,7.9,TZ,1634774035
port macquarie,-31.4333,152.9167,68.9,65,81,3.76,AU,1634773782
saint-leu,-21.15,55.2833,72.43,87,65,1.99,RE,1634774035
tunceli,39.1083,39.5471,48.38,50,7,5.32,TR,1634774036
cidreira,-30.1811,-50.2056,63.19,69,93,16.75,BR,1634774036
arlit,18.7369,7.3853,86.67,12,43,8.7,NE,1634774036
half moon bay,37.4636,-122.4286,68.05,79,90,1.01,US,1634773763
juan lacaze,-34.4342,-57.4381,62.98,73,16,11.1,UY,1634774037
derzhavinsk,51.1,66.3167,42.46,63,82,18.68,KZ,1634774037
taixing,32.1667,120.0136,54.91,72,60,9.8,CN,1634774038
chara,56.9064,118.2631,27.37,75,61,3.74,RU,1634774038
sobolevo,54.4299,31.8996,48.6,80,100,17.11,RU,1634774038
homer,59.6425,-151.5483,44.76,87,95,3.0,US,1634774038
kardamaina,36.7814,27.1425,55.35,58,51,14.12,GR,1634774039
muttupet,10.4,79.4833,80.29,79,77,6.58,IN,1634774039
bathsheba,13.2167,-59.5167,83.01,78,40,21.85,BB,1634774039
lethem,3.3803,-59.7968,78.21,80,61,6.98,GY,1634774040
itoman,26.1247,127.6694,78.82,72,75,11.5,JP,1634774040
mehamn,71.0357,27.8492,34.14,58,100,25.03,NO,1634774040
grobina,56.5352,21.1678,58.86,88,90,23.02,LV,1634774041
sungairaya,0.7,108.9,78.96,83,100,1.86,ID,1634774041
praia,14.9215,-23.5087,81.14,54,0,19.57,CV,1634773900
lucapa,-8.4192,20.7447,66.63,97,91,3.09,AO,1634774042
norman wells,65.282,-126.8329,37.44,65,75,10.36,CA,1634774042
yerbogachen,61.2767,108.0108,34.77,90,100,9.71,RU,1634774043
ambon,-3.6954,128.1814,86.14,84,20,3.44,ID,1634774043
svencionys,55.15,26.1667,54.9,73,100,15.28,LT,1634774044
edgewater,28.9889,-80.9023,77.09,62,76,7.94,US,1634773795
launceston,-41.45,147.1667,66.61,65,40,7.0,AU,1634774044
tecpan,14.7623,-90.9947,58.32,95,98,0.31,GT,1634774045
luanda,-8.8368,13.2343,75.2,88,75,4.61,AO,1634774045
saint-pierre,-21.3393,55.4781,73.04,68,90,6.91,RE,1634773812
dzhebariki-khaya,62.2167,135.8,22.69,92,100,1.9,RU,1634774045
huarmey,-10.0681,-78.1522,64.98,86,81,10.63,PE,1634774046
ballina,-28.8667,153.5667,66.78,93,75,3.44,AU,1634773813
oranjemund,-28.55,16.4333,58.08,81,40,6.13,NA,1634774046
aanekoski,62.6946,25.818,50.07,95,100,9.6,FI,1634774046
okha,53.5739,142.9478,33.01,74,48,11.39,RU,1634774047
khair,27.95,77.8333,71.01,52,0,5.06,IN,1634774047
cockburn town,21.4612,-71.1419,82.36,78,75,9.22,TC,1634774047
escarcega,18.6089,-90.7454,74.17,97,97,3.44,MX,1634774048
palafrugell,41.9174,3.1631,68.56,69,61,4.0,ES,1634773999
kahului,20.8947,-156.47,83.46,69,0,11.99,US,1634774048
komsomolskiy,40.4272,71.7189,56.12,44,92,9.22,UZ,1634774049
quibor,9.9287,-69.6201,76.17,81,68,3.04,VE,1634774049
la ronge,55.1001,-105.2842,43.05,49,40,6.91,CA,1634773797
palm coast,29.585,-81.2078,77.07,60,89,5.01,US,1634773793
olavarria,-36.8927,-60.3225,59.4,76,2,9.06,AR,1634773843
san cristobal,7.7669,-72.225,71.78,93,14,2.04,VE,1634774050
vila franca do campo,37.7167,-25.4333,61.21,73,44,1.92,PT,1634774050
quatre cocos,-20.2078,57.7625,72.09,82,47,7.65,MU,1634774050
lata,40.1629,-8.3327,61.81,98,30,1.52,PT,1634774051
balabac,7.9868,117.0645,81.45,79,98,6.58,PH,1634774051
paracuru,-3.41,-39.0306,81.1,80,96,8.21,BR,1634774051
janow lubelski,50.707,22.4104,57.22,55,98,15.73,PL,1634774052
kalanguy,51.0167,116.5167,23.97,86,6,2.04,RU,1634774052
beira,-19.8436,34.8389,71.69,78,20,5.99,MZ,1634774052
mazeikiai,56.3167,22.3333,57.02,81,100,19.08,LT,1634774053
rock sound,24.9,-76.2,80.91,71,68,22.28,BS,1634774053
bilibino,68.0546,166.4372,3.58,93,100,2.51,RU,1634774054
asfi,32.2994,-9.2372,67.98,95,75,7.65,MA,1634774054
port blair,11.6667,92.75,77.04,88,40,0.0,IN,1634773767
visnes,59.3556,5.2242,47.82,71,90,20.71,NO,1634774054
adamantina,-21.6853,-51.0725,71.35,63,0,14.47,BR,1634774055
voh,-20.9667,164.7,67.66,95,100,3.53,NC,1634774055
kasongo,-4.45,26.6667,66.72,100,100,2.44,CD,1634774055
jaisalmer,26.9147,70.9181,75.09,56,0,14.29,IN,1634774056
pacific grove,36.6177,-121.9166,66.4,75,90,1.01,US,1634773835
gillette,44.2911,-105.5022,45.86,78,28,7.0,US,1634774025
kropotkin,45.4375,40.5756,40.5,53,28,5.03,RU,1634774056
tingi,-11.3,35.0333,64.9,71,41,7.92,TZ,1634774057
tekeli,44.83,78.8239,50.49,32,100,2.91,KZ,1634774057
college,64.8569,-147.8028,39.18,59,40,5.75,US,1634774057
bozova,37.3625,38.5267,58.12,37,0,4.9,TR,1634774058
honningsvag,70.9821,25.9704,35.83,64,100,30.2,NO,1634774058
zhangye,38.9342,100.4517,40.8,41,1,3.0,CN,1634774058
buta,2.7858,24.73,70.05,100,100,1.7,CD,1634774059
zomin,39.9606,68.3958,56.26,23,57,3.51,UZ,1634774059
bac lieu,9.285,105.7244,76.37,93,100,7.02,VN,1634774060
reutlingen,48.4914,9.2043,61.02,82,82,8.61,DE,1634774060
prince rupert,54.3161,-130.3201,49.69,90,90,8.05,CA,1634774060
ovre ardal,61.3167,7.8,39.13,99,100,4.94,NO,1634774061
maun,-19.9833,23.4167,75.16,46,0,9.22,BW,1634774061
stokmarknes,68.5646,14.9108,34.5,93,100,5.5,NO,1634774062
goderich,43.7501,-81.7165,61.12,72,83,6.91,CA,1634774062
iglino,54.8324,56.4126,28.49,82,91,9.64,RU,1634774062
mastic beach,40.7668,-72.8521,69.98,78,9,1.01,US,1634774063
poso,-1.3959,120.7524,83.57,66,78,1.41,ID,1634774063
abancay,-13.6339,-72.8814,62.85,78,87,4.45,PE,1634774063
changying,52.8733,123.3213,30.7,65,85,3.47,CN,1634774064
turki,51.987,43.2731,36.72,61,76,13.82,RU,1634774064
shirgaon,19.7,72.7,76.05,76,18,6.8,IN,1634774064
kuchinarai,16.541,104.05,74.82,85,100,1.48,TH,1634774065
sao miguel do araguaia,-13.275,-50.1628,84.16,49,69,1.97,BR,1634774065
pangnirtung,66.1451,-65.7125,27.81,67,8,5.32,CA,1634774065
kendari,-3.945,122.4989,82.6,75,84,1.5,ID,1634774065
great yarmouth,52.6083,1.7305,53.02,88,94,16.44,GB,1634774066
port lincoln,-34.7333,135.8667,65.16,65,59,12.21,AU,1634774066
sao joao da barra,-21.6403,-41.0511,65.07,91,100,12.71,BR,1634774066
amparafaravola,-17.5833,48.2167,58.98,97,11,3.38,MG,1634774067
stryn,61.9045,6.7226,44.89,100,100,4.94,NO,1634774067
emerald,-23.5333,148.1667,81.34,65,75,6.91,AU,1634774068
mao,39.8885,4.2658,64.96,88,0,8.05,ES,1634773883
natal,-5.795,-35.2094,81.25,83,40,9.22,BR,1634774045
yinchuan,38.4681,106.2731,44.64,24,0,0.78,CN,1634774068
mountain home,43.133,-115.6912,65.68,27,40,10.36,US,1634774069
egvekinot,66.3167,-179.1667,22.46,86,100,5.91,RU,1634774069
lorengau,-2.0226,147.2712,84.51,71,57,7.92,PG,1634774069
eutin,54.1333,10.6167,56.79,89,55,18.41,DE,1634774070
coos bay,43.3665,-124.2179,62.58,85,75,10.36,US,1634774070
muroto,33.2833,134.15,57.24,58,100,7.94,JP,1634774070
beloha,-25.1667,45.05,68.76,90,100,4.9,MG,1634774071
dingli,35.8614,14.3822,61.81,94,20,2.3,MT,1634774071
iberia,29.9502,-91.7507,80.56,83,99,5.59,US,1634774071
marsaxlokk,35.8419,14.5431,64.08,94,20,2.3,MT,1634774072
holme,56.1138,10.1725,53.17,93,65,14.03,DK,1634774072
novoagansk,61.9449,76.6625,39.04,91,100,7.58,RU,1634774072
korgen,66.0771,13.8153,42.28,97,100,5.84,NO,1634774072
praia da vitoria,38.7333,-27.0667,64.76,88,20,2.01,PT,1634774073
libertador general san martin,-23.8064,-64.7876,74.97,39,0,4.14,AR,1634774073
kavieng,-2.5744,150.7967,82.72,74,95,6.58,PG,1634773818
srednekolymsk,67.45,153.6833,-1.14,89,78,2.3,RU,1634773778
ca mau,9.1769,105.15,76.14,95,100,5.14,VN,1634774074
vaasa,63.096,21.6158,43.29,100,75,1.14,FI,1634774074
boyolangu,-8.1181,111.8935,80.19,77,91,3.83,ID,1634774074
nakhon phanom,17.3333,104.4167,76.03,86,84,1.48,TH,1634773878
palmer,42.1584,-72.3287,64.45,74,65,3.98,US,1634773920
beyneu,45.3167,55.2,40.64,62,43,11.7,KZ,1634774075
caxito,-8.5785,13.6643,75.85,80,99,4.27,AO,1634774075
pereslavl-zalesskiy,56.7393,38.8563,39.16,94,100,18.39,RU,1634774075
hereford,52.0568,-2.7148,50.0,60,99,14.97,GB,1634774076
marrakesh,31.6315,-8.0083,68.07,60,0,3.44,MA,1634774076
stabat,3.761,98.4513,75.4,99,100,3.15,ID,1634774076
kerema,-7.9631,145.7785,83.77,75,46,5.03,PG,1634774077
ruteng,-8.6136,120.4721,72.0,70,97,1.81,ID,1634774077
amahai,-3.3333,128.9167,83.88,69,84,0.72,ID,1634774078
lardos,36.0942,28.0157,66.02,65,44,9.33,GR,1634774078
lasa,46.6166,10.7002,52.54,92,97,6.17,IT,1634774078
grand-lahou,5.1367,-5.0242,77.77,87,77,8.39,CI,1634774079
cordoba,-31.4135,-64.1811,73.6,35,0,10.36,AR,1634774041
tabou,4.423,-7.3528,76.98,88,39,7.45,CI,1634773821
pangoa,-12.1167,-73.0,71.17,85,86,2.33,PE,1634774079
akdagmadeni,39.6603,35.8836,36.25,79,0,1.61,TR,1634774079
muisne,0.6,-80.0333,75.78,85,100,8.81,EC,1634774080
constitucion,-35.3333,-72.4167,51.93,88,16,3.47,CL,1634774080
maniitsoq,65.4167,-52.9,32.68,69,8,13.42,GL,1634774080
belmonte,-15.8631,-38.8828,79.3,89,66,4.29,BR,1634774081
haverfordwest,51.8017,-4.9691,57.54,82,94,3.0,GB,1634774081
bo phloi,14.3236,99.5161,80.31,87,100,1.7,TH,1634774081
hobyo,5.3505,48.5268,77.85,83,84,13.51,SO,1634774082
kandava,57.0409,22.7747,55.8,86,100,18.14,LV,1634774082
mount isa,-20.7333,139.5,83.97,32,74,20.71,AU,1634774082
normandin,48.8333,-72.5321,48.33,81,100,8.05,CA,1634774083
matadi,-5.8167,13.45,76.23,82,91,4.21,CD,1634774083
coxim,-18.5067,-54.76,80.62,54,80,5.64,BR,1634774083
paragominas,-2.9667,-47.4833,76.05,86,86,4.0,BR,1634774084
svecha,58.2785,47.5164,31.3,80,100,11.72,RU,1634774084
cascais,38.6979,-9.4215,67.46,77,0,5.01,PT,1634774084
ilhabela,-23.7781,-45.3581,64.63,88,98,6.02,BR,1634774044
tezu,27.9167,96.1667,72.05,99,100,1.79,IN,1634774085
rock springs,41.5875,-109.2029,51.04,54,1,1.01,US,1634773887
san-pedro,4.7485,-6.6363,76.26,91,41,5.61,CI,1634774085
yantal,56.8471,105.2542,27.88,96,41,4.18,RU,1634774086
chicama,-7.8447,-79.1469,59.54,78,77,7.18,PE,1634774086
bogdanovich,56.7803,62.0494,31.91,88,100,13.82,RU,1634774086
ndele,8.4109,20.6473,70.41,97,100,7.18,CF,1634774087
nicoya,10.1483,-85.452,74.75,92,97,1.9,CR,1634774087
puerto del rosario,28.5004,-13.8627,71.35,83,58,14.97,ES,1634773834
kotelnich,58.3089,48.348,31.33,85,92,10.36,RU,1634774088
albesti,47.7,27.0667,55.94,58,90,5.79,RO,1634774088
cururupu,-1.8283,-44.8683,76.15,87,12,3.11,BR,1634774089
alice springs,-23.7,133.8833,78.35,27,0,11.5,AU,1634774089
port maria,18.3685,-76.8895,77.02,90,85,3.8,JM,1634774089
maykop,44.6078,40.1058,39.11,65,33,3.6,RU,1634774090
susehri,40.1644,38.0867,40.08,81,4,1.23,TR,1634774090
faya,18.3851,42.4509,59.11,30,3,6.53,SA,1634773835
vila velha,-20.3297,-40.2925,66.15,88,75,9.22,BR,1634774090
harper,4.375,-7.7169,77.31,88,57,7.16,LR,1634774091
salalah,17.0151,54.0924,76.26,79,92,5.57,OM,1634773874
anloga,5.7947,0.8973,80.82,84,99,10.31,GH,1634774091
avera,33.194,-82.5271,65.71,53,70,4.79,US,1634774092
puro,12.4841,123.3827,81.64,81,39,5.37,PH,1634774092
along,28.1667,94.7667,71.33,100,100,0.81,IN,1634774092
mattru,7.6244,-11.8332,74.16,97,100,2.1,SL,1634774093
namatanai,-3.6667,152.4333,82.76,75,99,5.53,PG,1634774093
dicabisagan,17.0818,122.4157,81.7,75,63,1.99,PH,1634774093
nabire,-3.3667,135.4833,83.14,74,86,0.22,ID,1634774093
kushiro,42.975,144.3747,47.35,100,75,2.3,JP,1634774094
chapais,49.7834,-74.8492,38.98,96,100,8.08,CA,1634773810
talaya,61.3833,152.75,-9.96,87,46,0.2,RU,1634774095
kadnikov,59.5022,40.338,32.27,94,100,15.43,RU,1634774095
apac,1.9756,32.5386,67.62,91,100,0.94,UG,1634774095
changli,39.7042,119.1506,46.2,57,4,4.85,CN,1634774096
bonthe,7.5264,-12.505,78.06,88,100,7.49,SL,1634774096
longjiang,47.3303,123.1836,38.59,52,100,3.11,CN,1634774096
klamath falls,42.2249,-121.7817,52.88,65,100,1.99,US,1634774097
port hardy,50.6996,-127.4199,53.78,94,75,3.44,CA,1634774097
moron,-34.6534,-58.6198,69.03,76,21,4.0,AR,1634773853
rio gallegos,-51.6226,-69.2181,53.65,26,0,8.05,AR,1634774097
progreso,21.2833,-89.6667,78.12,83,93,12.95,MX,1634774098
idrinskoye,54.3708,92.1358,34.56,73,86,3.56,RU,1634774098
mindelo,16.8901,-24.9804,78.35,78,20,16.11,CV,1634774098
oron,4.8256,8.2343,75.04,91,100,1.1,NG,1634774099
takoradi,4.8845,-1.7554,77.09,90,92,8.95,GH,1634773918
skoghall,59.3232,13.4655,48.76,87,20,14.97,SE,1634774099
kinshasa,-4.3246,15.3215,77.32,88,40,3.44,CD,1634774099
naze,28.3667,129.4833,63.52,85,100,13.47,JP,1634774100
xichang,27.8964,102.2634,51.37,88,100,3.42,CN,1634774100
erzin,36.9559,36.2,52.32,46,0,2.55,TR,1634774100
agadir,30.4202,-9.5982,66.65,39,82,0.83,MA,1634773978
haines junction,60.7522,-137.5108,35.55,87,65,0.0,CA,1634774101
sao filipe,14.8961,-24.4956,82.27,58,0,8.99,CV,1634774102
plettenberg bay,-34.0527,23.3716,66.15,57,78,3.06,ZA,1634774103
synya,65.3718,58.0387,29.89,96,99,5.35,RU,1634774104
sakaiminato,35.55,133.2333,49.98,93,75,5.75,JP,1634774104
mokhsogollokh,61.4681,128.9203,30.96,79,99,9.8,RU,1634774105
tiksi,71.6872,128.8694,10.94,94,100,5.37,RU,1634774106
otradnoye,59.7775,30.8181,55.04,93,100,13.98,RU,1634774106
yongchang,30.0381,119.7317,50.79,96,100,2.19,CN,1634774107
geraldton,-28.7667,114.6,66.61,72,34,12.66,AU,1634774107
tevaitoa,-16.7833,-151.5,78.82,79,24,7.52,PF,1634774108
ahuimanu,21.4447,-157.8378,84.78,52,1,9.22,US,1634774108
desa,43.8667,23.0333,50.07,76,1,1.14,RO,1634774108
san quintin,30.4833,-115.95,65.66,71,3,11.68,MX,1634773815
bolton,53.5833,-2.4333,48.42,94,49,1.99,GB,1634774109
zinder,13.8072,8.9881,86.16,19,18,3.69,NE,1634774109
evensk,61.95,159.2333,11.55,67,94,8.72,RU,1634774110
chernyshevskiy,63.0128,112.4714,35.83,96,100,11.32,RU,1634774110
norrtalje,59.758,18.705,53.02,75,100,14.79,SE,1634774110
purificacion,3.8587,-74.9313,78.76,75,74,4.25,CO,1634774110
zaraza,9.3503,-65.3245,78.33,76,70,6.58,VE,1634774111
umm lajj,25.0213,37.2685,77.94,63,0,12.12,SA,1634774104
vernon,50.2581,-119.2691,58.75,77,100,2.3,CA,1634774111
chhapar,27.8167,74.4,73.58,32,0,9.6,IN,1634774112
kichera,55.9375,110.0997,29.32,85,85,1.74,RU,1634774112
ewo,-0.8725,14.8206,70.16,97,100,0.18,CG,1634774112
vidim,56.4088,103.1106,27.73,94,38,3.18,RU,1634774113
awbari,26.5921,12.7805,70.77,41,100,7.2,LY,1634774113
chino valley,34.7575,-112.4538,70.84,34,53,1.99,US,1634774113
okato,-39.2,173.8833,64.42,72,98,1.48,NZ,1634774114
leinefelde,51.3833,10.3333,60.48,81,100,18.79,DE,1634774114
east stroudsburg,40.9995,-75.1813,64.92,76,33,4.36,US,1634774115
tateyama,34.9833,139.8667,63.1,58,100,10.29,JP,1634774115
kamenka,51.3223,42.7678,36.37,61,94,12.82,RU,1634774115
show low,34.2542,-110.0298,68.72,29,1,11.5,US,1634774116
merauke,-8.4667,140.3333,85.77,63,78,3.69,ID,1634774116
carutapera,-1.195,-46.02,78.98,80,16,6.55,BR,1634774116
road town,18.4167,-64.6167,82.2,94,20,0.0,VG,1634774116
awjilah,29.1081,21.2869,70.02,48,9,8.39,LY,1634774117
bonavista,48.6499,-53.1147,49.12,94,100,18.7,CA,1634774117
aksarayskiy,46.7924,48.0119,31.95,72,3,7.85,RU,1634774118
ugoofaaru,5.6667,73.0,81.77,70,86,10.85,MV,1634774118
cabo rojo,18.0866,-67.1457,82.0,89,62,5.48,PR,1634774118
manavalakurichi,8.1333,77.3,78.89,93,98,4.85,IN,1634774119
itarema,-2.9248,-39.9167,79.83,81,99,9.75,BR,1634774119
maracaibo,10.6317,-71.6406,81.21,78,56,7.23,VE,1634774032
tuy hoa,13.0833,109.3,77.14,90,100,4.07,VN,1634774120
marovoay,-16.1,46.6333,75.34,83,3,5.82,MG,1634774120
mana,5.6592,-53.7767,80.38,82,93,10.71,GF,1634774121
sorland,67.667,12.6934,36.79,97,100,21.07,NO,1634774121
sao raimundo das mangabeiras,-7.0219,-45.4811,81.61,64,31,5.23,BR,1634774121
litovko,49.2361,135.1742,32.07,51,3,5.39,RU,1634774122
comodoro rivadavia,-45.8667,-67.5,73.26,27,0,21.85,AR,1634774122
kinablangan,7.6947,126.5503,82.92,71,99,4.68,PH,1634774123
kaitangata,-46.2817,169.8464,53.55,52,94,4.29,NZ,1634774123
gateshead,54.9333,-1.6667,44.29,92,40,3.44,GB,1634774123
tautira,-17.7333,-149.15,80.62,78,71,12.24,PF,1634774123
taikang,46.8333,124.4167,39.51,50,70,4.79,CN,1634774124
eyl,7.9803,49.8164,77.52,83,38,5.39,SO,1634774124
pacifica,37.6138,-122.4869,67.69,83,90,1.99,US,1634774125
zhigansk,66.7697,123.3711,20.5,92,89,9.66,RU,1634774125
villarrica,-25.75,-56.4333,69.12,60,54,3.71,PY,1634774125
rudnichnyy,59.617,52.4703,27.86,83,91,4.45,RU,1634774126
